1,2,3
NO_QUERY,weefranniev,"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... "
NO_QUERY,ikimmyy,@allyheman but.. but.. but.. I'm not a big fan on camilla belle 
NO_QUERY,yolie81,"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine "
NO_QUERY,spacks,This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done 
NO_QUERY,bgoers,I'm so cold 
NO_QUERY,MissPassion,@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow 
NO_QUERY,aaronrothe,@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff
NO_QUERY,ilikeoreos,Hoping the tummy rumbles go away soon 
NO_QUERY,wiccabuffy,"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. "
NO_QUERY,HiKeri,almost bedtime 
NO_QUERY,bnr0201,I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart
NO_QUERY,R_Boucher,Agh...snow!!! 
NO_QUERY,josiahmcdermott,i miss kenny powers 
NO_QUERY,VanessaSingline,"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget "
NO_QUERY,varunkumar,"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. "
NO_QUERY,JenniOnTheBlock,@JonathanRKnight I guess that's a no then. 
NO_QUERY,darkninja757,sadly is going to bed. 
NO_QUERY,mikecogh,@ozesteph1992 Shame to hear this Stephan 
NO_QUERY,KandiConnection,@mrsaintnick hey! i'm leavin in the morning... 
NO_QUERY,joechummer,"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left "
NO_QUERY,kellireneez,laid around too much today... now my head hurts 
NO_QUERY,treehugger25,@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.
NO_QUERY,chatpataa,my nokia 1110 died..  
NO_QUERY,ThisStoutjunt,My mom might have breast cancer won't find out anything for. Like a week I'm so worried! 
NO_QUERY,sew_cute,Going to sleep. Hoping tomorrow is a better day. 
NO_QUERY,Twokids1,@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too
NO_QUERY,AKyarnie,@onemoreproject that is lame 
NO_QUERY,luimoral85,I don't understand... I really don't 
NO_QUERY,ceironous,HEROES just isn't doing it for me this season... 
NO_QUERY,brandonmcb,Living not downtown sure isn't much fun.  
NO_QUERY,mannyrique,@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!
NO_QUERY,styletrain,Man Work is Hard 
NO_QUERY,kscud,"getting sick  time for some hot tea, studying, and then sleeeep"
NO_QUERY,kirstenj0y,@robot9! @robot4& I have a good feeling that the show isgoing to be amazing! @robot9$ @robot7%
NO_QUERY,marculus,No phantasy star yesterday  going to work...
NO_QUERY,andrewofthediaz,Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well 
NO_QUERY,dbmendel,Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too 
NO_QUERY,erks,is alone downstairs...working 
NO_QUERY,ringleaderkanon,I feel bad for doing it 
NO_QUERY,babibabs,"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. "
NO_QUERY,ace587,@pinkserendipity yes sprint has 4g only in baltimore and chicago so far 
NO_QUERY,ktribb80,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. 
NO_QUERY,OliviaFox,Thanks for bursting my bubble 
NO_QUERY,IluvJoelMadden,Going to school soon... can't find anything to wear!! gosh it's so hard 
NO_QUERY,easyausguy,@marieclr I was serious  LOL
NO_QUERY,Hollywood_Trey,@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history
NO_QUERY,EcoTravelTV,Crazy wind today = no birding  http://ff.im/1XTTi
NO_QUERY,AshaleaMay,currently at work.. 
NO_QUERY,AthenaA42,Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. 
NO_QUERY,Missy__,@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!
NO_QUERY,BrettFair,i don't see the big deal with this website 
NO_QUERY,mydwynter,@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail
NO_QUERY,jhenkens,@ColinDeMar Far too out of the way for rail.  any other tips?
NO_QUERY,sarah_katie,I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.
NO_QUERY,amanda5280,"Today I realized I am too good at hiding things, even I can't find it "
NO_QUERY,Shabbybebe,"Staying at a friends house...house sitting, neighbors are SO loud-having a party "
NO_QUERY,fatkat309,@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!
NO_QUERY,blackheartbunny,Check out my mug  http://www.erika-obscura.blogspot.com
NO_QUERY,szrhnds602,Borders closed at 10 
NO_QUERY,schammy,Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days 
NO_QUERY,mariotani,Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! 
NO_QUERY,Jaderade14,is watching the hill . . .and its making me sad 
NO_QUERY,LeeseEllen,So many channels.... yet so so boring... lazy day again  may have to find a hobby
NO_QUERY,FNFKayCee,@supersport I miss my buddy  ill be in NY on the 25th
NO_QUERY,CaddyStage,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people
NO_QUERY,ha_nobita,Opps.. As I said.. I still got one day remain and now problem come 
NO_QUERY,tchviolin,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb"
NO_QUERY,DreamActivist23,@HillyDoP  oH NO
NO_QUERY,msbutt3rfly14,spencer is not a good guy. 
NO_QUERY,Karmatical,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman."
NO_QUERY,Jana1976,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,she�s not well "
NO_QUERY,AmyJade,didn't get shit done today ~ i'm so screwed 
NO_QUERY,tantrixie,wanttss to go out 
NO_QUERY,supersharayah,Is not going to sleep tonite. 
NO_QUERY,bluepaintred,too worried and tired to post tonight 
NO_QUERY,AmyJade,couldn't get shit done today ~ i'm so screwed 
NO_QUERY,bovinemammal,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep "
NO_QUERY,jessejoseph,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*("
NO_QUERY,lennytoups,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now
NO_QUERY,paulverhoeven,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. "
NO_QUERY,Britty88,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! 
NO_QUERY,stephaniekmusic,i hate to see the spartans so sad 
NO_QUERY,Jemimus,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot 
NO_QUERY,Sweetpineapple,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!"
NO_QUERY,Artiel87,@mandayyy 
NO_QUERY,treehugger25,@twista202 I think I want to read some books but the library doesn't have them 
NO_QUERY,Mirlina,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...
NO_QUERY,g_rose86,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. 
NO_QUERY,omgseriouslywtf,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.
NO_QUERY,DjGundam,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie 
NO_QUERY,stacyc37,sad that the 'feet' of my macbook just fell off 
NO_QUERY,Alp0,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad 
NO_QUERY,TheDCD,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  "
NO_QUERY,DrewKatavich,"Has now gotten somebody to read his tweets, but cant get them to make an account. "
NO_QUERY,tinyvamp,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:
NO_QUERY,MTLarson1224,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me 
NO_QUERY,vcf2,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha
NO_QUERY,thinkingmama,@breadandbadger Congrats!!  i totally forgot to submit photos 
NO_QUERY,Cherye101,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx"
NO_QUERY,nataleyritter,@imaginarypeach now your leaving me  .... -gets sad-
NO_QUERY,ciairuhh,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. "
NO_QUERY,sarahdesjardins,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED 
NO_QUERY,larsgunnarf,Tuesday�ll start with reflection �n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers 
NO_QUERY,Lvonhusen,What tragedy and disaster in the news this week 
NO_QUERY,TimelessAKA,yes yes still trying to find a picture that will upload correclty.. 
NO_QUERY,jinnah,Why oh why was the Red Sox game rained out? I was so looking forward to opening day 
NO_QUERY,edsed,I still can't find my keys. 
NO_QUERY,admdrw,@charlietm I know right. I dunno what is going on with twitter. 
NO_QUERY,Loreinski,might be getting a sore throat again 
NO_QUERY,OhShayLaVie,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!
NO_QUERY,dossy,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  
NO_QUERY,bigwillthechamp,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd 
NO_QUERY,MalloryLe,is in the bathroom... wake up lakin. 
NO_QUERY,courtosullivan,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3
NO_QUERY,Augustina22CA,"im lonely  keep me company! 22 female, california"
NO_QUERY,sdcoyle,bad day at the betfair office 
NO_QUERY,omgitsjo,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!
NO_QUERY,catrienmaxwell,I'm really cold. I don't want to go to sleep yet but there's nothing to do 
NO_QUERY,nicci718,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! 
NO_QUERY,meganminesinger,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken
NO_QUERY,nicole___,@miss_om Aww  I know I felt like that yesterday at work 
NO_QUERY,JBarrick,@SarahReedSC treaty isn't defined 
NO_QUERY,gregcronin,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;
NO_QUERY,Lisaherrity,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx
NO_QUERY,princessseli,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts
NO_QUERY,Artiel87,@mandayyy   
NO_QUERY,jasminpatry,New video card is DOA. 
NO_QUERY,saraguilford12,"feeling lost, naked and confused (JK, sort of).....no iphone for me. "
NO_QUERY,realin,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work "
NO_QUERY,gregcronin,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;
NO_QUERY,Steponme2418,i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah
NO_QUERY,benboarder,has lost his ring. It's no-where to be seen 
NO_QUERY,SupernovaGirl,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY."
NO_QUERY,latoyanlegania,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick 
NO_QUERY,taspence,Is fucked to go back to IC 
NO_QUERY,lizzzzlemon,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. 
NO_QUERY,russbaker,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can
NO_QUERY,hypnoticzexy,@kissability Me too I is poor 
NO_QUERY,debbieseraphina,help me forget 8th april &amp; 13th july! 
NO_QUERY,tshamysboo,"dierks bentley is comin' to columbus, OH!! i wanna go so bad "
NO_QUERY,husqvarna,i have to take my sidekick back. 
NO_QUERY,VirtueIMC,@chriscantore congrats! I'm totally jealous! only wish my XM was working 
NO_QUERY,godzgurl,gr8t my face is very itchy 
NO_QUERY,dancingmanikin,poor socks  luvvvvv the golden retriever!! I want one sighhhh
NO_QUERY,iggyp,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible 
NO_QUERY,sarochka,Aaaaand the nausea is back. 
NO_QUERY,flowerlilly,@DonnieWahlberg ooh I�m excited and not even going 2 be there  long love YOUTUBE!
NO_QUERY,themangoman,spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..
NO_QUERY,marybacchus,@mathewsmichael  i agree... the jobros dont update theres very often 
NO_QUERY,bliumchik,@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link 
NO_QUERY,finnsig,@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  )
NO_QUERY,iCalvin,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!"
NO_QUERY,sammysokol,@bostongarden I miss bentley 
NO_QUERY,JWard86,seriously needs to finish these job applications 
NO_QUERY,dgvirtual,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids"
NO_QUERY,ForzaRagazza,Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. 
NO_QUERY,jasminedesiree,@huntermoore I don't want him to ever punch me.  
NO_QUERY,kortt,sooo sick of the snow  ughh
NO_QUERY,__Susan__,@ITS_NEMESIS ------- 
NO_QUERY,aoski,@LoveMeagan it doesn't work your fan is upset 
NO_QUERY,wcarss,I would like to apologize for the repeated Video Games Live related tweets. 32 minutes ago
NO_QUERY,drtaru,@zaydia but i cant figure out how to get there / back / pay for a hotel 1st May 2019
NO_QUERY,mumu1210,"FML: So much for seniority, bc of technological ineptness 23rd June 2018 17:54"
NO_QUERY,nyracat,feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.
NO_QUERY,Stereo_Skyline,@ThaStevieG but what I really want is my old bass back 
NO_QUERY,veelishus,Mad tired today... Callin it in early tonight  nighty night twittas
NO_QUERY,usagiko,"@LevenRambin: Take it easy, and be good to you. "
NO_QUERY,weisenly,I'm afraid I had bad code. 
NO_QUERY,ChrisJNewman,Think I'm going to bed. Goodniight. I hate this 
NO_QUERY,stefanip,"@riancurtis  i'm here, friend, and i love you."
NO_QUERY,luannem,@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??
NO_QUERY,krissivee,@aaronrva is in the bathroom and i have to pee!    
NO_QUERY,Angela004,@ashleyskyy but I wanted a margarita too! 
NO_QUERY,Nrose09,@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!
NO_QUERY,jennhelvering,Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good 
NO_QUERY,FeedMeTrance,"has 0g of milky bar left, and around 200ml of coke "
NO_QUERY,BATMANNN,@jokerrrr It stillllll hasn't arrived 
NO_QUERY,MorganWillis,"Mraow, I feel like dancing, but first art school wants to rape me some more. "
NO_QUERY,AUSTINMONIQUE,@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time 
NO_QUERY,Arneenxx,Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back 
NO_QUERY,elamparuthi,amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.
NO_QUERY,Ps8612,"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/"
NO_QUERY,ARExistence,"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!"
NO_QUERY,dEnNy_333,Just watched tropic thunder. Dreading tomorrow 
NO_QUERY,Tuhtsqueen,@qweendassah no...he's still miss'n... 
NO_QUERY,karlcswanson,ChiefDelphi is down 
NO_QUERY,sarawang,"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)"
NO_QUERY,voguea,playing game at home! my new boss didn't call me yet... 
NO_QUERY,SPYSG,Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t
NO_QUERY,colorful_kelsey,Poor Joshy is sick???   those damn tejanos!
NO_QUERY,hotrodlopez,My thoughts are with Sandra Cantu's family at this difficult and sad time 
NO_QUERY,wandafay,"@FranzGlaus I know, just wanted to let everybody know what was happening  "
NO_QUERY,TiM_Cunningham,Michigan who?  I don't know them.                   *sigh*   Shameful!
NO_QUERY,cday88,i have to fill two hours 
NO_QUERY,lisha_e,"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday "
NO_QUERY,Tanja71,@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office 
NO_QUERY,dreaaa,throat is closing up and i had some string cheese. not a good idea 
NO_QUERY,jenners101,"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family."
NO_QUERY,Fudgey84,wishing i was home underneath my covers 
NO_QUERY,tilleywilly,walking home from school drains all my energy 
NO_QUERY,otherbella,"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!"
NO_QUERY,JamieMphoto,@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?
NO_QUERY,ylajennytambien,I wish I was better at writing. It's taking me so long to write this paper. 
NO_QUERY,abean2007,..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... 
NO_QUERY,IncomeDiscovery,"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project."
NO_QUERY,MissPassion,@thecoolestout Ha the sun's already gone 
NO_QUERY,sprtsgrl04,day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. 
NO_QUERY,RedTheTrucker,My man crush Jake Peavy let me down  #gayforpeavy
NO_QUERY,larabehnert,"@trishzw megafast trip, you have time during day tom/weds? Or, you going out tonight? Want to see you bad. Tried to warn you, tech fail "
NO_QUERY,summerseelye,michigan state you make me sad 
NO_QUERY,chimshar,omg. my mouth is in so much pain  i just wanna sleep untill its time to take my braces off.
NO_QUERY,algaebiofuels,getting annoyed easily today  &gt;&gt;&gt; biofuel proposal: getting annoyed easily today  &gt;&gt;&gt; biof.. http://tinyurl.com/ceprvs
NO_QUERY,EricaLeigh777,@MizzChievouz Hey girl. The site is back.  Girlyvue is back and they have even more videos. 
NO_QUERY,hellostaci,@a5hleyf i'm spending time with my grandma early tomorrow and i can't leave skittles by herself. 
NO_QUERY,alohasassy,just got home from watching Michigan State get tromped!   
NO_QUERY,diet_lard,"Oh jew-bus! Two years worth of classes' work is ALOT to organize &gt;_&lt; i'm not finishing tonight, it's not possible...my bones ache "
NO_QUERY,aeoth,"@griffmiester no exchanging for me, my laptop hasn't arrived "
NO_QUERY,nicolegreen,@hyperbets i hope this doesn't last too long.  i feel miserable!
NO_QUERY,jcphoto,@rcompo RACHEL! hang outage is neccessary - i was gonna be home this wekend but dumb folk make me work   so im free F and Sat until 4...
NO_QUERY,Kevin_Lately,@TheLeagueSF Not Fun &amp; Furious? The new mantra for the Bay 2 Breakers? It was getting 2 rambunctious;the city overreacted &amp; clamped down 
NO_QUERY,suze2000,@amber_benson  my hubby (for some reason) thinks it's more important he has a good spot for red carpet for the Trek Movie Premiere. Sod!
NO_QUERY,paulmoreton1978,"I swear no matter how long I've been getting up at 5am, it never gets any easier. Man my eyes hurts wah "
NO_QUERY,Day_Zee,@Jeffree_Star Jeffree! How do you keep your hair one color? My PERMANENT dye fades within the week 
NO_QUERY,AnimePlanet,"@otakusecret my reaction too  whoa, didn't see that coming"
NO_QUERY,oup,"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! "
NO_QUERY,aileen2u2,"@Dangerm0use I think maybe you should get a couple more hours of sleep, hon. How productive can you be right now if ur dog tired? I worry "
NO_QUERY,remzology,@maddyVA Thanks a lot. Learned a lot of new words but didn't find what I was looking for. 
NO_QUERY,abean2007,Wish I had all the XBLM downloads all on the gamertag 'Hitokyri'. This 5 gamertag thing is nonsense... and I'm tired of it 
NO_QUERY,Sheezy3380,New Testament Test at 9:30 am   
NO_QUERY,edlimagno,@ScoutBuck tons no hay Troll? ahhhh 
NO_QUERY,tracious,stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! 
